name,latitude,longitude
3B Mart,0.224494277,73.1366602
Aazaadhee villa,0.222405341,73.13917811
Abhareege,0.223799018,73.13340703
Ablagheege,0.224476988,73.13732118
Andhunge,0.222862933,73.13585105
Annarumaage,0.224452812,73.13655972
Anoana,0.221405632,73.13927574
Araakuri,0.221231156,73.13817008
Asaree Aage,0.222851563,73.13458719
Asareege,0.223273675,73.13465742
Asrafeege,0.223266221,73.13480249
Asseyri,0.225860952,73.13645232
Asurumaage,0.221400289,73.13477479
Athireeaage,0.222745459,73.1377355
Athireege,0.222859452,73.13727818
Bahaaruge,0.224019228,73.13631933
Bashige,0.223347924,73.13432644
Beach Star,0.227055536,73.13599421
Beauty Corner,0.222003145,73.13506489
Blue Heaven,0.224024539,73.13237964
Blue House,0.223989979,73.13652993
Blue Sea,0.221109511,73.13932568
Boat craft maldives pvt,0.22022916,73.1395681
Bode magu kodaa,0.224189947,73.13135118
Boduge,0.22307671,73.13641585
Bulbulaage,0.22465462,73.13649532
Busthaan,0.22070968,73.13741645
Chaandhanee,0.2267306,73.13514872
Childrens park,0.224199292,73.13777887
Coma,0.224355148,73.13690747
Copyge,0.222972239,73.13592662
Coral Garden,0.222078714,73.13555959
Coral Rose,0.22171256,73.13858269
Councilge Idhaaraa,0.223823766,73.13793629
Court,0.224162569,73.13716692
Daisy Villa,0.221792066,73.13484946
Daisymaage,0.223068663,73.13656874
Dhandikosheege,0.222905273,73.13622215
Dhelivaru,0.223560207,73.13338087
Dheraha,0.222004356,73.13567625
Dheriya,0.221599379,73.13904711
Dhoogas,0.222343937,73.13560521
Dhoores,0.222251986,73.13557011
Diamond Villa,0.223899317,73.1319918
Dilbahaaruge,0.22339524,73.13519826
Donefresh,0.222122495,73.13517004
Dreamy Light,0.223796706,73.13231703
EasyRest,0.226813248,73.13598166
Edhuruge,0.224009546,73.13538754
Elmeniyaage,0.2229426,73.13706763
Evening Garden,0.225259886,73.13650695
Evening House,0.224109547,73.13544376
Ever Green,0.223258476,73.13706844
Falak,0.221774397,73.13945392
Fannuvilla,0.222089579,73.13898076
Feeni,0.221560487,73.13912356
FENAKA Fiyoaree branch,0.221780899,73.13364209
FENAKA Office,0.223815495,73.13712818
Finihiyaa,0.221246919,73.13463947
Finiroalhi,0.221252896,73.13738344
Finivaage,0.22332213,73.13663311
Fithe Garage,0.221166385,73.13816574
Fiyoaree ATM,0.224041874,73.13792112
Fiyoaree Bode Kulhiyaa,0.215102603,73.13990066
Fiyoaree Futsal Pitch,0.21867491,73.13718608
Fiyoaree Health Center,0.22149093,73.13794043
Fiyoaree RO Building,0.22177,73.134102
Fiyoaree School,0.221869119,73.13817647
Fiyoaree STP,0.222013,73.133745
Fiyoaree Volleyball Court,0.220989975,73.13540442
Fiyoaree Waste management center,0.220618301,73.13981052
Flower House,0.221675391,73.13473279
Gadhage,0.222463983,73.13883754
Geruhaaba Fihaara,0.223949029,73.13638514
Gulzaaruge,0.22331673,73.13690504
Guraha,0.222352339,73.13950515
Hakageli,0.223407188,73.13499037
Hasthee,0.222149349,73.13925592
Hathihaa,0.221639612,73.13882717
Huttey kodaa,0.228277332,73.13428962
Hutuvaru kamana,0.220742,73.13405
Iruka Guest House,0.220320284,73.13717042
Javvu,0.222791057,73.13749678
Kethi,0.222379404,73.13932133
Kiwi Sea,0.224533092,73.1374868
Kulhiye Valhagan'daa,0.216424478,73.13932982
Light Fish,0.221236,73.134308
Maagasdhoshuge,0.223017702,73.13681684
Maagold,0.22192008,73.13852247
Mahal,0.220826868,73.13613651
MAL Mart,0.222949822,73.1368723
Masjidhul Eemaani,0.222145942,73.13625364
Masjidhul Noorul Eemaani,0.225276378,73.13674163
Masjidhul Zikuraa,0.223615456,73.13416418
Miyaheli,0.22220799,73.13911947
Moon Light,0.224901901,73.13565112
Narugis Villa,0.221634559,73.13941896
Naseemee Hiya,0.221042,73.134575
Neat Villa,0.225008661,73.13570377
Nelshan Villa,0.223934101,73.13275878
Nooranee Villa,0.221958792,73.13875609
Norate Villa,0.224624031,73.13559408
Olhaadaa,0.224685993,73.13383647
Orchid maage,0.223239603,73.13584902
Orchid villa,0.226562773,73.13560609
Peris,0.221722607,73.138435
Police Station,0.222032312,73.13537287
Pump Station 1,0.223954971,73.13187179
Pump Station 2,0.225552401,73.13598123
Pump Station 3,0.222869406,73.13825161
Pump Station 4,0.220701693,73.13561874
Rabaru cafe,0.222695293,73.13858304
Rain water plant,0.223741122,73.13725834
Raivilla,0.223841924,73.13214485
Rangal,0.222325675,73.13538316
Reef view,0.221524042,73.13937949
Reegal,0.223892361,73.13308227
Reethigasdhoshuge,0.221844799,73.13889155
Riveli,0.22150855,73.1348402
Saadha Hayeh,0.22175083,73.13856874
Saimaage,0.221910082,73.13491249
Sunset View,0.224189947,73.13135118
Tharivilla,0.220527013,73.1373468
Udhares,0.223252393,73.13625358
Udhares Supermart,0.223133036,73.13616372
Vaadhee Rose,0.224218478,73.13179342
Vaarey villa,0.221562681,73.13493944
Vainujeheyge,0.220749108,73.13637928
Veevaru,0.221585968,73.1389291
Vesaa,0.220942625,73.13653322
Youth Center,0.221187221,73.13581029
Zameen,0.221615041,73.13461611
